name,x,y,norm,distinct
data-dqm-ecalmonitorclient,37.645443,-49.49833,25.39685019840059,644
data-dqm-integration,37.645443,-49.49833,25.39685019840059,644
data-dqm-physicshww,40.345505,-50.954906,25.39685019840059,644
data-dqm-sistripmonitorclient,40.345505,-50.954906,25.39685019840059,644
data-egammaanalysis-electrontools,40.345505,-50.954906,25.39685019840059,644
data-eventfilter-l1trawtodigi,40.345505,-50.954906,25.39685019840059,644
data-fastsimulation-materialeffects,40.345505,-50.954906,25.39685019840059,644
data-fastsimulation-trackingrechitproducer,37.645443,-49.49833,25.39685019840059,644
data-fireworks-geometry,37.645443,-49.49833,25.39685019840059,644
data-fwcore-modules,40.345505,-50.954906,25.39685019840059,644
data-generatorinterface-evtgeninterface,40.345505,-50.954906,25.39685019840059,644
data-generatorinterface-reggegribovpartonmcinterface,40.691723,-47.772396,25.39685019840059,644
data-geometry-dtgeometrybuilder,40.345505,-50.954906,25.39685019840059,644
data-geometry-testreference,40.345505,-50.954906,25.39685019840059,644
data-heterogeneouscore-sonictriton,40.345505,-50.954906,25.39685019840059,644
data-hltrigger-jetmet,40.345505,-50.954906,25.39685019840059,644
data-iopool-input,37.645443,-49.49833,25.39685019840059,644
data-l1trigger-csctriggerprimitives,39.355145,-47.994625,25.39685019840059,644
data-l1trigger-dttriggerphase2,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-l1tcalorimeter,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-l1tglobal,41.40635,-48.186207,25.39685019840059,644
data-l1trigger-l1thgcal,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-l1tmuon,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-phase2l1particleflow,41.57304,-53.834232,25.39685019840059,644
data-l1trigger-rpctrigger,39.355145,-47.994625,25.39685019840059,644
data-l1trigger-trackfindingtmtt,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-trackfindingtracklet,40.345505,-50.954906,25.39685019840059,644
data-l1trigger-tracktrigger,40.345505,-50.954906,25.39685019840059,644
data-l1triggerconfig-l1tconfigproducers,40.345505,-50.954906,25.39685019840059,644
data-magneticfield-engine,40.345505,-50.954906,25.39685019840059,644
data-magneticfield-interpolation,40.345505,-50.954906,25.39685019840059,644
data-physicstools-nanoaod,40.345505,-50.954906,25.39685019840059,644
data-physicstools-patutils,43.08917,-52.521046,25.39685019840059,644
data-recobtag-combined,40.345505,-50.954906,25.39685019840059,644
data-recobtag-ctagging,40.345505,-50.954906,25.39685019840059,644
data-recobtag-secondaryvertex,41.57304,-53.834232,25.39685019840059,644
data-recobtag-softlepton,41.57304,-53.834232,25.39685019840059,644
data-recoctpps-totemrplocal,40.345505,-50.954906,25.39685019840059,644
data-recoecal-egammaclusterproducers,40.345505,-50.954906,25.39685019840059,644
data-recoegamma-egammaphotonproducers,40.345505,-50.954906,25.39685019840059,644
data-recoegamma-electronidentification,40.345505,-50.954906,25.39685019840059,644
data-recoegamma-photonidentification,40.345505,-50.954906,25.39685019840059,644
data-recohgcal-ticl,40.345505,-50.954906,25.39685019840059,644
data-recohi-hijetalgos,40.345505,-50.954906,25.39685019840059,644
data-recojets-jetproducers,40.345505,-50.954906,25.39685019840059,644
data-recolocalcalo-ecaldeadchannelrecoveryalgos,40.345505,-50.954906,25.39685019840059,644
data-recomet-metpusubtraction,40.345505,-50.954906,25.39685019840059,644
data-recomtd-timingidtools,43.08917,-52.521046,25.39685019840059,644
data-recomuon-muonidentification,41.57304,-53.834232,25.39685019840059,644
data-recomuon-trackerseedgenerator,40.345505,-50.954906,25.39685019840059,644
data-recoparticleflow-pfblockproducer,40.345505,-50.954906,25.39685019840059,644
data-recoparticleflow-pfproducer,40.345505,-50.954906,25.39685019840059,644
data-recoparticleflow-pftracking,40.345505,-50.954906,25.39685019840059,644
data-recotautag-trainingfiles,43.08917,-52.521046,25.39685019840059,644
data-recotracker-finaltrackselectors,40.089634,-53.807167,25.39685019840059,644
data-recotracker-mkfit,37.551006,-51.92234,25.39685019840059,644
data-recotracker-tkseedgenerator,37.645443,-49.49833,25.39685019840059,644
data-simg4cms-calo,40.345505,-50.954906,25.39685019840059,644
data-simg4cms-forward,40.345505,-50.954906,25.39685019840059,644
data-simg4cms-hgcaltestbeam,40.345505,-50.954906,25.39685019840059,644
data-simpps-ppspixeldigiproducer,40.345505,-50.954906,25.39685019840059,644
data-simtracker-sistripdigitizer,40.345505,-50.954906,25.39685019840059,644
data-simtransport-hectorproducer,40.345505,-50.954906,25.39685019840059,644
data-simtransport-ppsprotontransport,43.08917,-52.521046,25.39685019840059,644
data-simtransport-totemrpprotontransportparametrization,40.345505,-50.954906,25.39685019840059,644
data-slhcupgradesimulations-geometry,40.345505,-50.954906,25.39685019840059,644
data-validation-geometry,40.345505,-50.954906,25.39685019840059,644
data-validation-hgcalvalidation,40.345505,-50.954906,25.39685019840059,644
datatransferkit,-5.820978,-54.363743,179.74148102205012,315
davix,38.40484,8.503921,41.23105625617661,689
davix-toolfile,10.961711,-22.69277,13.416407864998739,109
dawn,-28.848597,-40.477615,8.18535277187245,67
dawncut,-27.903454,-40.81262,8.18535277187245,67
db6-toolfile,10.961711,-22.69277,13.416407864998739,109
dbcsr,-29.40266,-7.0341043,2.449489742783178,6
dcap,54.47327,-11.600904,22.64950330581225,362
dcap-toolfile,10.961711,-22.69277,13.416407864998739,109
dd4hep,35.160385,-2.5376697,42.649736224272246,715
ddd,24.847979,57.427532,16.1245154965971,227
dealii,-4.0858183,-9.612862,50.714889332423866,216
dftbplus,-4.3498783,21.858557,21.540659228538015,169
dftd4,-29.881939,15.385836,11.575836902790225,67
diamond,-43.39288,46.895046,10.04987562112089,101
diffutils,43.05408,17.200712,100.10993956645864,946
dip,59.88244,-6.00002,34.45286635390443,655
diy,-26.814638,-5.3282213,2.23606797749979,5
